number,coreid,refcode,name,mofid-v1,LCD (Å),PLD (Å),LFPD (Å),Density (g/cm3),ASA (A2),ASA (m2/cm3),ASA (m2/g),NASA (A2),NASA (m2/cm3),NASA (m2/g),PV (A3),VF,PV (cm3/g),NAV (A3),NAV_VF,NPV (cm3/g),structure_dimension,topology(SingleNodes),topology(SingleNodes)-zeo,topology(AllNodes),topology(AllNodes)-zeo,catenation,dimension_by_topo,hall,number_spacegroup,Metal Types,Has OMS,OMS Types,Charge,average_atomic_mass,Heat_capacity@300K (J/g/K),std @ 300 K (J/g/K),Heat_capacity@350K (J/g/K),std @ 350 K (J/g/K),Heat_capacity@400K (J/g/K),std @ 400 K (J/g/K),k_cp (J/g/K/K),cp0 (J/g/K),natoms,Source,DOI,Year,Time,Publication,Extension,unmodified,Thermal_stability (℃),Solvent_stability,Water_stability,KH_Classes,memo
1,2015[Cu][nan]3[FSR]1,41467_2015_BFncomms7350_MOESM943_ESM_1_FSR_pacman,-,CC1=NN=C([N]1)CC1=[N]=C(N=N1)C.CC1=[N]=C(N=N1)CC1=[N]=C(N=N1)C.[Cu] MOFid-v1.unknown.cat0;41467_2015_BFncomms7350_MOESM943_ESM_1_FSR_pacman,6.31761,5.94846,6.3176,1.52436,677.299,1281.34,840.572,0,0,0,2758.17,0.5218,0.342307,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-C 2yc,15,Cu,Yes,Cu,PACMAN-DDEC6,13.18567913,0.757795845,0.019963537,0.837729007,0.04070271,0.924914944,0.040729635,0.001769904,0.377276212,368,SI,10.1038/ncomms7350,2015,2015/2/23,Nature,Free Solvent Removed,FALSE,398.9,0.549154,0.711904762,weak,
2,2015[Cu][nan]3[FSR]2,41467_2015_BFncomms7350_MOESM943_ESM_3_FSR_pacman,-,CC1=NN=C([N]1)CC1=[N]=C(N=N1)C.CC1=[N]=C(N=N1)CC1=[N]=C(N=N1)C.[Cu] MOFid-v1.unknown.cat0;41467_2015_BFncomms7350_MOESM943_ESM_3_FSR_pacman,3.8097,3.12096,3.79309,1.95712,0,0,0,25.5084,123.915,63.315,823.004,0.3998,0.20428,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-C 2yc,15,Cu,Yes,Cu,PACMAN-DDEC6,13.18567913,0.753360301,0.018532697,0.835507424,0.03864012,0.920316986,0.039289451,0.001671191,0.25522975,184,SI,10.1038/ncomms7350,2015,2015/2/23,Nature,Free Solvent Removed,TRUE,422,0.71964836,0.703333333,weak,
3,2017[Zr][nan]3[FSR]1,41467_2017_BFncomms15369_MOESM422_ESM_2_FSR_pacman,-,F[Zr](F)F.F[Zr]F.[O]P(=O)(c1ccc(cc1)C(c1ccc(cc1)P(=O)([O])[O])(c1ccc(cc1)P(=O)([O])[O])c1ccc(cc1)P(=O)([O])[O])[O] MOFid-v1.unknown.cat0;41467_2017_BFncomms15369_MOESM422_ESM_2_FSR_pacman,12.00356,7.22815,8.46923,0.811156,2138.58,2468.65,3043.37,0,0,0,6429.66,0.7422,0.91499,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-I 4,87,Zr,No,N/A,PACMAN-DDEC6,15.55796491,0.734490771,0.020642573,0.79819189,0.030338756,0.85072403,0.040261048,0.001162333,0.38765249,272,SI,10.1038/ncomms15369,2017,2017/5/30,Nature,Free Solvent Removed,TRUE,412.5,0.67358696,0.67,none,
4,2015[Zn][hea]3[FSR]1,41557_2015_BFnchem2258_MOESM175_ESM_FSR_pacman,-,"[O-]C(=O)c1ccc(cc1)c1ccc(c2c1N[C](N2)c1ccc(cc1)[C]1Nc2c(N1)c(ccc2c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.hea,unknown.cat0;41557_2015_BFnchem2258_MOESM175_ESM_FSR_pacman",11.61449,9.32322,10.52108,0.548186,6391.07,2407.33,4391.44,30.1796,11.3677,20.737,20808.6,0.7838,1.42981,0,0,0,3,hea,unnamed,unnamed,unnamed,1,3,"R 3 2""",155,Zn,Yes,Zn,PACMAN-DDEC6,10.66172467,0.839103286,0.042795997,0.953465445,0.060551185,1.0292085,0.073839331,0.001901052,0.275224172,822,SI,10.1038/NCHEM.2258,2015,2015/5/4,Nature,Free Solvent Removed,FALSE,357.9,0.65585876,0.47,none,
5,2023[Al][nan]3[FSR]1,42004_2023_850_MOESM4_ESM_FSR_pacman,-,[Al].[O-]C(=O)c1ccc(o1)C(=O)[O-].[OH] MOFid-v1.unknown.cat0;42004_2023_850_MOESM4_ESM_FSR_pacman,5.59563,4.29059,5.52583,1.10771,336.332,1415.94,1278.26,0,0,0,1350.61,0.5686,0.513312,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,I 4bw 2bw -1bw,141,Al,No,N/A,PACMAN-DDEC6,12.37912241,0.894683196,0.020325282,1.015439301,0.021720728,1.110684594,0.023286604,0.002160014,0.250930801,128,SI,10.1038/s42004-023-00850-4,2023,2023/3/24,Nature,Free Solvent Removed,TRUE,280.8,0.6186818,0.56,weak,
6,2014[Zn][unj]3[FSR]1,ac403674p_si_001_FSR_pacman,-,CC(CC(C(=O)[O-])NCc1ccncc1)C.[Zn]Br MOFid-v1.unknown.cat0;ac403674p_si_001_FSR_pacman,8.51052,8.28053,8.51052,1.12072,393.633,1207.89,1077.78,0,0,0,1958.57,0.601,0.536263,0,0,0,3,unj,unnamed,unj,unnamed,1,3,C -2yc,9,Zn,No,N/A,PACMAN-DDEC6,10.47313086,0.845694964,0.047452128,0.909445891,0.078900443,0.947940445,0.082092036,0.001700989,0.385251528,210,SI,10.1021/ac403674p,2014,2014/1/9,ACS,Free Solvent Removed,FALSE,261.9,0.95796055,0.899545455,weak,
7,2019[In][mmt]3[FSR]1,ac9b01379_si_002_FSR_pacman,-,"[In].[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1cc(nc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-] MOFid-v1.mmt,unknown.cat1;ac9b01379_si_002_FSR_pacman",11.44889,9.53551,11.42488,0.546774,3903.65,1951.08,3568.35,0,0,0,15405.8,0.77,1.40826,0,0,0,3,mmt,unnamed,unnamed,unnamed,2,3,P 61,169,In,No,N/A,PACMAN-DDEC6,10.42389823,0.859545538,0.049696696,0.95593987,0.079584824,1.018029087,0.083838607,0.001350187,0.509644034,632,SI,10.1021/acs.analchem.9b01379,2019,2019/6/28,ACS,Free Solvent Removed,TRUE,359.1,0.8732283,0.56,unknown,
8,2023[Cd][nan]3[FSR]1,adma202204553-sup-0004-jlu-mof88_FSR_pacman,-,[Cd].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].n1ncn(c1)c1ccc(cc1)c1ccc(cc1)n1cnnc1 MOFid-v1.unknown.cat0;adma202204553-sup-0004-jlu-mof88_FSR_pacman,5.15336,2.94521,5.1512,1.24351,0,0,0,289.827,1092.22,878.342,1353.84,0.5102,0.410292,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-P 2ybc,14,Cd,No,N/A,PACMAN-DDEC6,11.29034682,0.806733164,0.034092706,0.914899504,0.064986437,0.971909409,0.073709578,0.001506818,0.338925244,176,SI,10.1002/adma.202204553,2023,2023/2/19,WILEY,Free Solvent Removed,FALSE,377.8,0.46836522,0.62962963,none,
9,2023[Cd][nan]2[FSR]1,adma202204553-sup-0005-jlu-mof89_FSR_pacman,-,Cc1cc(ccc1n1cnnc1)c1ccc(c(c1)C)n1cnnc1.[Cd].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-] MOFid-v1.unknown.cat0;adma202204553-sup-0005-jlu-mof89_FSR_pacman,5.20043,3.16992,5.20043,1.27081,0,0,0,274.441,1027.93,808.875,1316.77,0.4932,0.388098,0,0,0,2,unnamed,unnamed,unnamed,unnamed,1,3,-P 2ybc,14,Cd,No,N/A,PACMAN-DDEC6,10.86812426,0.829138923,0.034888724,0.919280707,0.060670289,0.971144331,0.069744499,0.001255243,0.496945861,188,SI,10.1002/adma.202204553,2023,2023/2/19,WILEY,Free Solvent Removed,TRUE,319.6,0.47087127,0.675518519,none,
10,2023[Zn][eta]3[FSR]1,advs5490-sup-0002-suppmat_1_FSR_pacman,-,"CCC1=NC(=C([N]1)C)C=NC1CCCCC1N=CC1=C(C)[N]C(=N1)CC.CCC1=N[C](C(=N1)C)C=NC1CCCCC1N=CC1=C(C)[N]C(=N1)CC.CCC1=N[C](C(=N1)C)C=NC1CCCCC1N=C[C]1N=C(N=C1C)CC.[Zn]Br MOFid-v1.qtz,unknown.cat0;advs5490-sup-0002-suppmat_1_FSR_pacman",7.07281,6.34617,7.07128,1.09314,1976.93,1686.46,1542.76,0,0,0,7279.59,0.621,0.568088,0,0,0,3,eta,unnamed,eta,unnamed,1,3,I 4bw -1bw,88,Zn,Yes,Zn,PACMAN-DDEC6,11.08697448,0.791772423,0.035894743,0.844546912,0.059212415,0.893453859,0.07832479,0.001332412,0.43340236,696,SI,10.1002/advs.202207333,2023,2023/4/18,WILEY,Free Solvent Removed,FALSE,398.8,0.058398068,0.646153846,weak,
